synset,pos,gloss,emotion
SID-04308749-N,noun,"supporting structure that holds up or provides a foundation; ""the statue stood on a marble support""",hope
SID-00863376-V,verb,"warn or arouse to a sense of danger or call to a state of preparedness; ""The empty house alarmed him""; ""We alerted the new neighbors to the high rate of burglaries""",fear
SID-00877671-V,verb,dedicate to a deity by a vow,anticipation
SID-04804176-N,noun,fearless daring,anticipation
SID-07419268-N,noun,"fearful expectation or anticipation; ""the student looked around the examination room with apprehension""",fear
SID-15072965-N,noun,"a period of time spent sleeping; ""he felt better after a little sleep""; ""there wasn't time for a nap""",like
SID-00202333-R,adverb,"with eagerness; in an eager manner; ""the news was eagerly awaited""",joy
SID-04572398-N,noun,a tendency to express warm and affectionate feeling,like
SID-00352355-A,adjective,"in or near a center or constituting a center; the inner area; ""a central position""; ""central heating and air conditioning""",like
SID-00018488-A,adjective,"worthy of acceptance or satisfactory; ""acceptable levels of radiation""; ""performances varied from acceptable to excellent""",like
SID-00416821-A,adjective,"having color or a certain color; sometimes used in combination; ""colored crepe paper""; ""the film was in color""; ""amber-colored heads of grain""",like
SID-07407000-N,noun,"a humble feeling; ""he was filled with humility at the sight of the Pope""",sadness
SID-03229738-A,adjective,"small and light enough to be operated while you hold it in your hands; ""a hand-held computer""",disgust
SID-07400716-N,noun,a feeling of disliking something or what someone is doing,disgust
SID-07435224-N,noun,"a feeling of low spirits; ""he felt responsible for her lowness of spirits""",sadness
SID-01957189-A,adjective,"having or showing feelings of unwarranted importance out of overbearing pride; ""an arrogant official""; ""arrogant claims""; ""chesty as a peacock""",disgust
SID-00546796-A,adjective,"not dedicated; ""the playground has been completed but is still undedicated""",despair
SID-00070709-A,adjective,"willing to undertake or seeking out new and daring enterprises; ""adventurous pioneers""; ""the risks and gains of an adventuresome economy""",anticipation
SID-01007517-A,adjective,"beyond or deviating from the usual or expected; ""a curious hybrid accent""; ""her speech has a funny twang""; ""they have some funny ideas about war""; ""had an odd name""; ""the peculiar aromatic odor of cloves""; ""something definitely queer about this town""; ""what a rum fellow""; ""singular behavior""",surprise
SID-02128580-A,adjective,"free from danger or the risk of harm; ""a safe trip""; ""you will be safe here""; ""a safe place""; ""a safe bet""",calmness
SID-00367235-V,verb,"make hot or hotter; ""the sun heats the oceans""; ""heat the water on the stove""",anger
SID-00188818-R,adverb,"in a clever manner; ""they were cleverly arranged""; ""a smartly managed business""",like
SID-00332250-V,verb,"break into pieces, as by striking or knocking over; ""Smash a plate""",anger
SID-00175015-A,adjective,"showing a sense of guilt; ""a guilty look""; ""the hangdog and shamefaced air of the retreating enemy""- Eric Linklater",disgust
SID-00011118-R,adverb,"(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'); ""the children behaved well""; ""a task well done""; ""the party went well""; ""he slept well""; ""a well-argued thesis""; ""a well-seasoned dish""; ""a well-planned party""; ""the baby can walk pretty good""",like
SID-02095664-A,adjective,"lacking in specific resources, qualities or substances; ""a poor land""; ""the area was poor in timber and coal""; ""food poor in nutritive value""",disgust
SID-06924703-N,noun,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,like
SID-09485360-N,noun,a person who loves or is loved,love
SID-01762161-V,verb,"cause fear in; ""The stranger who hangs around the building frightens me""; ""Ghosts could never affright her""",fear
SID-14346550-N,noun,"the state of being free from danger or injury; ""we support the armed services in the name of national security""",calmness
SID-00573290-V,verb,"make attractive or acceptable; ""Honesty recommends any person""",anticipation
SID-02438544-A,adjective,"as if struck dumb with astonishment and surprise; ""a circle of policement stood dumbfounded by her denial of having seen the accident""; ""the flabbergasted aldermen were speechless""; ""was thunderstruck by the news of his promotion""",surprise
SID-00443441-A,adjective,"thickly covered with ingrained dirt or soot; ""a miner's begrimed face""; ""dingy linen""; ""grimy hands""; ""grubby little fingers""; ""a grungy kitchen""",disgust
SID-07439461-N,noun,the feeling that everything is wrong and nothing will turn out well,despair
SID-01368632-A,adjective,not injured physically or mentally,joy
SID-01417630-A,adjective,"affected by or full of grief or woe; ""his sorrow...made him look...haggard and...woebegone""- George du Maurier",sadness
SID-07422123-N,noun,"an anxious feeling; ""care had aged him""; ""they hushed it up out of fear of public reaction""",anger
SID-11297432-N,noun,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightening,disgust
SID-01992301-A,adjective,"affording or marked by rest or repose; ""the time spent was pleasant and relaxing""; ""a restful night""; ""a cool and reposeful glen""",like
SID-00501349-A,adjective,"providing or experiencing physical well-being or relief (`comfy' is informal); ""comfortable clothes""; ""comfortable suburban houses""; ""made himself comfortable in an armchair""; ""the antihistamine made her feel more comfortable""; ""are you comfortable?""; ""feeling comfy now?""",like
SID-01314333-A,adjective,"broadly or extravagantly humorous; resembling farce; ""the wild farcical exuberance of a clown""; ""ludicrous green hair""",disgust
SID-07112421-N,noun,a complaint uttered in a low and indistinct tone,disgust
SID-07400128-N,noun,dislike experienced as an absence of friendliness,disgust
SID-04307837-N,noun,"any device that bears the weight of another thing; ""there was no place to attach supports for a shelf""",hope
SID-01837475-V,verb,"draw something in by or as if by a vacuum; ""Mud was sucking at her feet""",disgust
SID-02691801-N,noun,"a chemical substance derivable from a mold or bacterium that kills microorganisms and cures infections; ""when antibiotics were first discovered they were called wonder drugs""",anticipation
SID-01801091-V,verb,inspire with confidence; give hope or courage to,hope
SID-02476474-A,adjective,pleasing to the sense of taste,like
SID-01089237-V,verb,"be the winner in a contest or competition; be victorious; ""He won the Gold Medal in skating""; ""Our home team won""; ""Win the game""",like
SID-14349152-N,noun,"a source of danger; a possibility of incurring loss or misfortune; ""drinking alcohol is a health hazard""",fear
SID-01793790-V,verb,"abandon hope; give up hope; lose heart; ""Don't despair--help is on the way!""",despair
SID-02174970-V,verb,"fill with distaste; ""This spoilt food disgusts me""",disgust
SID-05083248-N,noun,"that which is below standard or expectations as of ethics or decency; ""take the bad with the good""",disgust
SID-00414127-N,noun,the act of troubling or annoying someone,disgust
SID-07409257-N,noun,"intense nervous anticipation; ""in a fever of resentment""",ambiguous
SID-02091258-V,verb,"have for one's benefit; ""The industry enjoyed a boom""",like
SID-04841535-N,noun,lack of cleanly habits,disgust
SID-00091577-A,adjective,"troubled emotionally and usually deeply; ""agitated parents""",ambiguous
SID-00331034-R,adverb,"in a discouraging manner; ""the failure rate on the bar exam is discouragingly high""",despair
SID-00451518-N,noun,"a single play of a sport or other contest; ""the game lasted two hours""",joy
SID-07111882-N,noun,"the act of making a strong public expression of disagreement and disapproval; ""he shouted his protests at the umpire""; ""a shower of protest was heard from the rear of the hall""",disgust
SID-00990286-V,verb,make a record of; set down in permanent form,like
SID-01866736-A,adjective,very unpleasant,fear
SID-02057125-A,adjective,"showing modest reserve; ""she was diffident when offering a comment on the professor's lecture""",fear
SID-06284282-N,noun,"a piece of fiction that narrates a chain of related events; ""he writes stories for the magazines""",joy
SID-01738494-A,adjective,"exceedingly or unbelievably great; ""the bomb did fantastic damage""; ""Samson is supposed to have had fantastic strength""; ""phenomenaRl feats of memory""",love
SID-00784273-A,adjective,"making great mental demands; hard to comprehend or solve or believe; ""a baffling problem""; ""I faced the knotty problem of what to have for breakfast""; ""a problematic situation at home""",disgust
SID-07428072-N,noun,"a feeling of spontaneous good spirits; ""his cheerfulness made everyone feel better""",joy
SID-02543276-A,adjective,"consistent with fact or reality; not false; ""the story is true""; ""it is undesirable to believe a proposition when there is no ground whatever for supposing it true""- B. Russell; ""the true meaning of the statement""",like
SID-05156918-N,noun,a body embalmed and dried and wrapped for burial (as in ancient Egypt),ambiguous
SID-04400868-N,noun,"covering for a hole (especially a hole in the top of a container); ""he removed the top of the carton""; ""he couldn't get the top off of the bottle""; ""put the cover back on the kettle""",anticipation
SID-00421162-R,adverb,"in a peaceable manner; ""the tenant paying the rent hereby reserved and performing the several covenants herein on his part contained shall peaceably hold and enjoy the demised premises""",calmness
